bmi,height,weight
24.0,174.8,73.4
25.1,169.0,71.7
22.6,172.2,67.2
22.2,183.5,74.9
24.8,192.4,91.9
21.3,178.9,68.4
23.1,163.1,61.6
24.3,182.0,80.6
27.6,179.0,88.7
19.8,181.6,65.6
23.7,173.2,71.1
29.9,172.1,88.6
23.5,177.4,74.0
23.9,178.9,76.8
23.7,169.5,68.2
23.5,176.2,73.1
26.3,179.2,84.5
23.4,184.4,79.6
18.4,178.4,58.8
24.4,170.3,71.0
17.9,175.4,55.1
22.3,170.0,64.6
19.9,187.5,70.0
19.1,171.5,56.3
19.3,173.5,58.2
39.0,169.1,111.8
22.9,180.5,74.8
20.1,175.3,61.8
21.5,186.1,74.7
22.0,176.6,68.7
14.8,175.8,45.8
21.0,175.5,64.8
21.4,165.6,58.8
28.0,168.5,79.6
24.0,173.7,72.5
19.4,179.5,62.8
18.3,171.5,54.0
19.8,184.9,68.0
19.1,179.0,61.4
21.7,175.3,66.7
23.4,171.9,69.4
19.1,176.2,59.4
24.4,184.9,83.7
17.0,173.2,51.0
22.1,174.5,67.4
21.3,173.6,64.3
22.5,176.5,70.2
19.9,184.0,67.4
23.9,172.1,70.8
40.7,167.9,114.9
16.4,182.4,54.7
31.8,171.9,94.2
20.7,176.3,64.5
23.2,170.6,67.7
25.3,174.0,76.8
26.2,168.3,74.3
21.0,172.0,62.3
24.2,169.8,69.9
26.6,166.0,73.3
21.1,172.4,62.8
18.8,171.0,55.2
21.3,171.8,63.1
28.5,169.6,82.0
18.5,168.1,52.3
21.7,173.9,65.7
20.8,164.3,56.3
21.2,171.2,62.3
19.5,172.4,58.0
20.9,178.7,66.9
20.5,159.3,52.1
21.4,176.1,66.6
21.6,172.0,64.1
23.8,175.5,73.4
26.8,176.9,84.1
38.1,168.1,107.9
37.3,178.5,119.1
23.0,169.9,66.4
24.7,176.9,77.5
23.4,168.7,66.6
26.6,181.4,87.7
30.9,174.7,94.5
20.7,175.3,63.9
31.0,176.7,96.9
25.0,182.4,83.2
23.7,175.0,72.8
25.5,164.9,69.4
23.8,179.7,77.0
22.9,169.8,66.1
19.2,175.0,58.9
23.8,164.6,64.7
26.6,176.3,82.9
23.9,181.5,78.8
20.5,182.1,68.2
18.3,172.6,54.7
25.1,181.7,83.0
26.8,173.8,81.2
19.2,173.4,57.8
26.3,167.9,74.2
19.4,171.8,57.3
17.4,172.3,51.8
28.0,176.2,87.2
22.9,177.2,72.0
23.4,179.5,75.4
17.1,171.8,50.6
24.0,171.8,70.9
18.7,173.4,56.5
21.8,176.2,67.8
20.4,178.4,65.2
21.3,174.7,65.2
19.3,175.3,59.5
20.9,166.1,57.8
20.0,174.1,60.8
20.4,174.1,62.0
22.6,177.1,70.9
23.0,171.3,67.7
22.0,180.0,71.6
22.5,168.0,63.7
24.2,180.9,79.5
23.7,173.8,71.6
25.6,167.6,72.0
17.7,174.3,54.0
31.5,169.8,91.0
21.1,180.6,69.1
23.6,171.4,69.5
19.9,172.0,59.0
23.1,173.2,69.4
28.4,174.8,86.8
26.0,170.5,75.6
22.8,179.2,73.4
27.9,173.0,83.6
21.2,168.6,60.4
22.3,170.9,65.2
24.0,176.4,74.7
17.7,177.3,55.7
44.4,172.4,132.0
26.1,171.5,76.9
25.2,166.3,69.8
28.3,170.2,82.2
24.4,172.3,72.5
17.8,182.1,59.2
28.8,169.3,82.8
19.6,169.1,56.1
18.4,173.4,55.4
24.4,177.4,77.0
20.3,179.8,65.7
46.2,187.2,162.1
29.4,175.1,90.3
26.1,179.0,83.7
37.7,179.6,121.7
22.7,181.2,74.6
19.0,179.9,61.5
30.1,167.2,84.4
22.3,178.9,71.6
21.6,176.9,67.9
22.8,165.3,62.3
16.3,175.3,50.3
24.5,170.1,70.9
35.0,180.7,114.6
32.6,182.9,109.1
29.3,175.8,90.7
20.2,170.8,59.0
36.7,178.6,117.1
22.9,173.0,68.8
22.6,175.8,70.1
25.0,172.3,74.3
20.3,182.8,67.9
20.7,166.6,57.6
22.8,182.0,75.6
23.1,183.9,78.3
21.8,177.0,68.6
23.3,174.6,71.2
29.0,164.2,78.2
30.5,169.2,87.5
26.2,187.9,92.6
27.3,180.9,89.6
38.2,173.1,114.7
19.8,168.3,56.1
20.9,179.4,67.3
30.3,178.2,96.4
22.3,172.5,66.6
16.9,174.8,51.8
23.0,177.4,72.4
22.3,169.2,63.9
21.2,172.3,63.2
27.4,172.4,81.5
19.8,183.1,66.4
23.6,174.5,71.9
19.6,166.9,54.7
22.2,177.0,69.7
21.3,170.6,62.2
20.8,180.4,67.8
18.5,170.3,53.8
22.4,170.7,65.5
25.5,175.4,78.6
26.5,173.3,79.8
21.1,176.5,66.0
24.4,170.4,70.9
24.8,169.2,71.1
16.8,171.8,49.6
27.0,165.3,73.8
26.2,178.2,83.5
22.9,171.7,67.6
24.9,163.4,66.5
18.2,185.3,62.5
21.6,183.5,73.0
24.5,173.7,74.0
15.9,165.5,43.6
37.1,174.0,112.4
21.3,181.6,70.3
19.4,170.9,56.7
17.9,179.2,57.6
16.0,177.8,50.8
28.4,173.5,85.7
27.9,171.7,82.4
26.5,171.3,77.9
24.6,183.9,83.3
43.5,169.8,125.7
21.1,175.4,65.1
30.6,177.3,96.5
22.9,174.8,70.0
23.0,180.0,74.8
28.7,175.7,88.6
27.1,178.0,86.1
28.7,179.7,92.9
26.0,176.6,81.2
22.9,170.8,67.0
18.8,176.9,59.0
26.5,168.9,75.8
28.5,182.2,94.9
21.8,177.5,68.7
26.1,174.3,79.4
22.2,162.4,58.8
21.7,175.0,66.7
37.0,172.8,110.5
21.0,177.8,66.4
26.7,182.7,89.4
21.8,181.4,71.9
21.5,180.5,70.3
20.8,174.4,63.3
21.4,180.4,69.9
25.6,172.9,76.6
26.5,171.0,77.6
37.3,178.6,119.2
22.2,170.7,64.9
20.6,177.6,65.1
23.4,170.7,68.2
26.2,169.7,75.6
23.1,170.9,67.7
16.7,169.7,48.1
19.6,180.5,64.1
38.0,182.3,126.5
21.3,169.5,61.4
39.2,174.1,119.0
18.7,168.2,53.0
19.8,173.7,59.9
24.6,179.1,79.1
33.3,179.3,107.1
20.5,175.5,63.4
19.8,171.4,58.2
37.6,181.1,123.4
27.7,180.2,90.2
23.1,168.3,65.7
31.9,168.5,90.6
30.2,176.9,94.8
18.8,175.3,57.8
24.0,177.2,75.5
20.0,183.8,67.8
21.7,175.3,66.8
30.4,171.8,89.8
20.1,162.2,53.0
24.4,169.9,70.5
22.8,183.9,77.2
29.5,178.4,94.0
23.5,168.0,66.4
23.4,169.4,67.2
22.4,164.5,60.7
35.0,171.3,102.9
